1,Девяткино,60.0301,30.2632
1,Гражданский проспект,60.0206,30.2505
1,Академическая,60.0045,30.2345
1,Политехническая,60.0031,30.2215
1,Площадь Мужества,59.5959,30.2200
1,Лесная,59.5905,30.2039
1,Выборгская,59.5816,30.2051
1,Площадь Ленина,59.5720,30.2121
1,Чернышевская,59.5640,30.2135
1,Площадь Восстания,59.5552,30.2138
1,Владимирская,59.5539,30.2052
1,Пушкинская,59.5513,30.1947
1,Технологический институт,59.5459,30.1906
1,Балтийская,59.5426,30.1758
1,Нарвская,59.5403,30.1629
1,Кировский завод,59.5246,30.1542
1,Автово,59.5202,30.1541
1,Ленинский проспект,59.5106,30.1605
1,Проспект Ветеранов,59.5030,30.1506
2,Парнас,60.0401,30.2002
2,Проспект Просвещения,60.0305,30.1956
2,Озерки,60.0213,30.1917
2,Удельная,60.0100,30.1856
2,Пионерская,60.0009,30.1748
2,Чёрная речка,59.5906,30.1804
2,Петроградская,59.5758,30.1842
2,Горьковская,59.5722,30.1907
2,Невский проспект,59.5606,30.1942
2,Сенная площадь,59.5537,30.1913
2,Фрунзенская,59.5422,30.1902
2,Московские ворота,59.5329,30.1904
2,Электросила,59.5244,30.1907
2,Парк Победы,59.5159,30.1918
2,Московская,59.5107,30.1919
2,Звёздная,59.4959,30.2058
2,Купчино,59.4946,30.2231
3,Беговая,59.5914,30.1208
3,Зенит,59.5820,30.1242
3,Приморская,59.5654,30.1403
3,Василеостровская,59.5633,30.1641
3,Гостиный двор,59.5601,30.1958
3,Маяковская,59.5553,30.2117
3,Площадь Александра Невского,59.5527,30.2309
3,Елизаровская,59.5348,30.2524
3,Ломоносовская,59.5238,30.2630
3,Пролетарская,59.5154,30.2812
3,Обухово,59.5055,30.2727
3,Рыбацкое,59.4951,30.3000
4,Спасская,59.5536,30.1910
4,Достоевская,59.5541,30.2046
4,Лиговский проспект,59.5514,30.2117
4,Новочеркасская,59.5544,30.2442
4,Ладожская,59.5556,30.2620
4,Проспект Большевиков,59.5511,30.2759
4,Улица Дыбенко,59.5426,30.2859
5,Комендантский проспект,60.0030,30.1531
5,Старая Деревня,59.5921,30.1518
5,Крестовский остров,59.5818,30.1534
5,Чкаловская,59.5739,30.1731
5,Спортивная,59.5701,30.1717
5,Адмиралтейская,59.5609,30.1854
5,Садовая,59.5535,30.1902
5,Звенигородская,59.5520,30.2008
5,Обводный канал,59.5452,30.2058
5,Волковская,59.5345,30.2128
5,Бухарестская,59.5302,30.2207
5,Международная,59.5213,30.2244
5,Проспект Славы,59.5125,30.2341
5,Дунайская,59.5023,30.2440
5,Шушары,59.4912,30.2558
